203,3,39,2015,1,MANHÃ,40,55,1.375,26.125,75.35
204,9,39,2015,1,NOITE,40,79,1.975,36.025,73.15
205,30,39,2015,1,MANHÃ,40,111,2.775,49.5,73.975
206,30,39,2015,1,NOITE,40,268,6.7,58.3,83.6
207,49,40,2015,1,MANHÃ,40,150,3.75,48.873,69.025
208,49,40,2015,1,NOITE,40,262,6.55,56.925,74.75
209,4,41,2015,1,TARDE,40,107,2.675,55,77
210,4,41,2015,1,NOITE,40,324,8.1,63.088,83.325
211,10,41,2015,1,TARDE,40,90,2.25,45.925,75.9
212,10,41,2015,1,NOITE,40,258,6.45,59.608,84.975
213,30,41,2015,1,TARDE,40,90,2.25,30.8,66.67
214,30,41,2015,1,EAD,40,189,4.725,58.71,79.75
215,54,41,2015,1,TARDE,40,63,1.575,37.95,76.75
216,54,41,2015,1,NOITE,40,165,4.125,54.175,86.9
217,2,42,2015,1,MANHÃ,40,52,1.3,24.25,67.235
218,2,42,2015,1,NOITE,40,91,2.275,39.05,62.975
219,4,42,2015,1,MANHÃ,40,62,1.55,27.12,68.25
220,4,42,2015,1,NOITE,40,154,3.85,56.5,78.925
221,19,42,2015,1,MANHÃ,40,59,1.475,38.703,77
222,30,42,2015,1,EAD,40,144,3.6,56.925,81.25
223,30,42,2015,1,NOITE,40,201,5.025,52.828,72.885
224,23,43,2015,1,NOITE,40,275,6.875,55.935,80.23
225,17,44,2015,1,TARDE,40,63,1.575,39.6,81.36
226,17,44,2015,1,NOITE,40,194,4.85,55.825,79.5
227,30,44,2015,1,EAD,80,285,3.5625,58.3,81.95
228,46,44,2015,1,NOITE,40,413,10.325,63.845,77.75
229,50,44,2015,1,MANHÃ,40,158,3.95,55.088,76
230,4,45,2015,1,MANHÃ,40,244,6.1,61.868,86.75
231,4,45,2015,1,NOITE,40,394,9.85,66.388,95.768
232,30,45,2015,1,MANHÃ,40,156,3.9,57.5,87.5
233,30,45,2015,1,EAD,80,250,3.125,54.523,81.125
234,32,45,2015,1,TARDE,40,60,1.5,27.968,74.75
235,32,45,2015,1,MANHÃ,40,146,3.65,47.75,68.648
236,37,45,2015,1,TARDE,40,65,1.625,35.02,80.3
237,37,45,2015,1,NOITE,40,386,9.65,59.043,85.25
238,68,45,2015,1,TARDE,40,84,2.1,50.875,81.36
239,7,46,2015,1,MANHÃ,40,197,4.925,58.75,93.225
240,7,46,2015,1,NOITE,40,609,15.225,68.083,90.118
241,34,46,2015,1,MANHÃ,40,93,2.325,49.5,81.25
242,34,46,2015,1,NOITE,40,223,5.575,61.05,86
243,4,47,2015,1,MANHÃ,40,243,6.075,64.633,96.8
244,4,47,2015,1,TARDE,40,88,2.2,54.45,88.14
245,30,47,2015,1,EAD,80,220,2.75,57.2,86.75
246,36,47,2015,1,NOITE,40,382,9.55,71.775,100
247,63,47,2015,1,TARDE,40,46,1.15,34.25,68.648
248,64,47,2015,1,MANHÃ,40,122,3.05,54.75,83.6
249,64,47,2015,1,NOITE,40,250,6.25,64.9,86.35
250,30,48,2015,1,NOITE,40,238,5.95,60.225,85.033
251,2,49,2015,1,MANHÃ,40,49,1.225,27.968,72.75
252,2,49,2015,1,NOITE,40,105,2.625,38.5,77
253,4,49,2015,1,TARDE,40,102,2.55,50.875,81.95
